,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
109,3cf8dd,Li4Fe2SO3,0.11216693524999499,Li2FeSO+Li2FeO2,0.09880500299999984,FeO+Li2FeO2+Li2S,e6ffb6b3-d255-4a45-b6e7-cbccc8052c64,pbe,-5.279129695
110,9f8716,Li4Fe2SO3,0.11636151124999472,Li2FeSO+Li2FeO2,0.10299957899999956,FeO+Li2FeO2+Li2S,f8c76f40-f1b7-449a-8a80-eb0881fe00fc,pbe,-5.274935119
111,909788,Li2Fe4S2O3,0.08278726784090384,Li2FeSO+FeO+Li2Fe4S3O2,0.05919716712121126,FeO+FeS+Li2S,115f6eba-1547-48ff-a7b8-cbce6fbc59ed,pbe,-5.711071390909091
112,b24d29,Li2Fe4S2O3,0.0847472851136315,Li2FeSO+FeO+Li2Fe4S3O2,0.06115718439393891,FeO+FeS+Li2S,5b0173c3-5a27-4439-9048-5bb0b3ec16be,pbe,-5.709111373636364
113,40ae92,Li2Fe4S2O3,0.09961187874999489,Li2FeSO+FeO+Li2Fe4S3O2,0.0760217780303023,FeO+FeS+Li2S,66341483-5b7b-4f8a-a9d0-65ae47ef29b9,pbe,-5.69424678
114,5a9d54,Li2Fe4S2O3,0.10211642965908574,Li2FeSO+FeO+Li2Fe4S3O2,0.07852632893939315,FeO+FeS+Li2S,60e3c499-fdf2-47f5-b5bc-fe8dbab14b15,pbe,-5.691742229090909
115,855fe9,Li2Fe4S2O3,0.11516058193181333,Li2FeSO+FeO+Li2Fe4S3O2,0.09157048121212075,FeO+FeS+Li2S,fb06975e-0627-4ac7-952f-e32a9924db5c,pbe,-5.678698076818182
116,7f16d2,Li2Fe4SO4,0.0832050565909066,Li2FeSO+FeO,0.07105784545454519,FeO+Li2S,431b5c87-1686-45a0-bb93-08db22b3cd82,pbe,-5.946746987272727
117,46a70e,Li2Fe4SO4,0.10311829477272472,Li2FeSO+FeO,0.0909710836363633,FeO+Li2S,8e02ee92-533a-461a-9bd0-9ba5c2f34690,pbe,-5.926833749090909
118,25ac02,Li5FeS3O,0.08598407512500206,Li2SO4+Li2Fe4S3O2+Li2S,0.08126949622222224,Li2SO4+LiFeO2+FeS+Li2S,d886acc8-ca9f-40f4-84a6-37dc93deda21,pbe,-4.507259106
119,8c4762,Li5FeS3O,0.08773985812500218,Li2SO4+Li2Fe4S3O2+Li2S,0.08302527922222236,Li2SO4+LiFeO2+FeS+Li2S,d6a403a3-b586-42fe-a8b2-44004c454b1d,pbe,-4.505503323
120,7fe450,Li5FeS3O,0.09018650612500245,Li2SO4+Li2Fe4S3O2+Li2S,0.08547192722222263,Li2SO4+LiFeO2+FeS+Li2S,0422119e-d588-4d5f-9303-aa673b34ae03,pbe,-4.503056675
121,1bd87f,Li5FeS3O,0.0979562271250023,Li2SO4+Li2Fe4S3O2+Li2S,0.09324164822222247,Li2SO4+LiFeO2+FeS+Li2S,13b3bea6-f3dd-481c-bb42-bff782d078a3,pbe,-4.495286954
122,746821,Li5FeS3O,0.10171884412500276,Li2SO4+Li2Fe4S3O2+Li2S,0.09700426522222294,Li2SO4+LiFeO2+FeS+Li2S,8f7b6c99-fe72-4b18-947f-0020944f87bd,pbe,-4.4915243369999995
123,4a9f72,Li3FeSO2,0.08664264821428347,LiFeO2+Li2S,0.08664264821428524,LiFeO2+Li2S,8b68e437-0419-47d3-81df-ee0433c9ed86,pbe,-5.157723872142857
124,0374d7,Li3FeSO2,0.08767144249999781,LiFeO2+Li2S,0.08767144249999959,LiFeO2+Li2S,1a7a9158-2ba7-49c0-bea1-832673e82cfa,pbe,-5.156695077857143
125,517510,Li3FeSO2,0.10229199821428381,LiFeO2+Li2S,0.10229199821428558,LiFeO2+Li2S,b3e11336-d1f5-437e-96e5-bbd0bca6aa59,pbe,-5.142074522142857
126,0c3aad,Li3FeSO2,0.11111703535714046,LiFeO2+Li2S,0.11111703535714224,LiFeO2+Li2S,c79b89df-0cdf-4c83-8997-0d4f8723b66e,pbe,-5.133249485
127,a0e8d2,Li3FeSO2,0.12435691749999744,LiFeO2+Li2S,0.12435691749999922,LiFeO2+Li2S,b99dbc94-cd0f-43cb-9967-8d6a10b2b548,pbe,-5.120009602857143
